630 S Peck Dr;;1820 Industrial Cir;;8;;2.9;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.118424,-105.1225664,-105.1237115,-105.1237223,-105.1239819;;40.1509225,40.150831,40.1508417,40.1525036,40.1521893,40.1475349,40.1479909,40.1482157,40.1482185
630 S Peck Dr;;1900 Pike Rd;;9;;3.3;;-105.1607101,-105.1606602,-105.1615587,-105.1615519,-105.1214068,-105.1214777,-105.1236677,-105.1236677;;40.1509225,40.150831,40.1508417,40.1525036,40.152368,40.1398301,40.1399257,40.1391964
6604 Mccall Dr;;630 S Peck Dr;;10;;5.6;;-105.1983788,-105.1944745,-105.1780239,-105.1782511,-105.1615519,-105.1615571,-105.1609551,-105.1609544,-105.1607101;;40.2032716,40.2034528,40.2032588,40.1524162,40.1525036,40.1513692,40.1513736,40.1509372,40.1509225
6604 Mccall Dr;;2301 22nd Ave;;5;;3.8;;-105.1983788,-105.1944745,-105.1317621,-105.1310729,-105.13143;;40.2032716,40.2034528,40.2032503,40.1994288,40.1994224
6604 Mccall Dr;;8925 Marathon Rd;;19;;10.5;;-105.1983788,-105.1944745,-105.1780239,-105.1785539,-105.1799924,-105.1830855,-105.1491205,-105.1480995,-105.1448356;;40.2032716,40.2034528,40.2032588,40.13078770000001,40.1304873,40.1017313,40.1016123,40.0981039,40.098968
6604 Mccall Dr;;2450 Airport Rd;;5;;3.1;;-105.1983788,-105.1944745,-105.1448984,-105.144899,-105.1463803,-105.1464105,-105.1474554,-105.1473291;;40.2032716,40.2034528,40.2032913,40.2021337,40.2020343,40.2022705,40.2023268,40.2026703
6604 Mccall Dr;;225 E 8th Ave;;15;;8.0;;-105.1983788,-105.1944745,-105.1031391,-105.1025006,-105.1012555,-105.0883083,-105.0882999,-105.0870726;;40.2032716,40.2034528,40.2032264,40.1739277,40.1739245,40.1739737,40.1720435,40.1720411
6604 Mccall Dr;;823 Meeker St;;15;;8.0;;-105.1983788,-105.1944745,-105.1031391,-105.1025006,-105.1012555,-105.0859016,-105.0859171;;40.2032716,40.2034528,40.2032264,40.1739277,40.1739245,40.1739766,40.17287580000001
6604 Mccall Dr;;2080 Main St;;9;;5.7;;-105.1983788,-105.1944745,-105.1031391,-105.1024193,-105.101597,-105.1020604;;40.2032716,40.2034528,40.2032264,40.1961223,40.19585259999999,40.1953873
6604 Mccall Dr;;1630 Mount Evans Dr;;12;;7.1;;-105.1983788,-105.1944745,-105.1031391,-105.1023072,-105.1004864,-105.0850133,-105.0850004;;40.2032716,40.2034528,40.2032264,40.1885625,40.1885583,40.1886183,40.1872267
6604 Mccall Dr;;1297 Fall River Cir;;13;;8.3;;-105.1983788,-105.1944745,-105.074149,-105.0741666,-105.0705256,-105.0705478;;40.2032716,40.2034528,40.2033041,40.1814255,40.1814884,40.1813486
6604 Mccall Dr;;1850 S Hover St.;;15;;8.4;;-105.1983788,-105.1944745,-105.1317621,-105.1309207,-105.1302244,-105.1305342;;40.2032716,40.2034528,40.2032503,40.135341,40.1353324,40.1365863
6604 Mccall Dr;;916 S Main St;;17;;8.9;;-105.1983788,-105.1944745,-105.1317621,-105.1307472,-105.1180436,-105.1029356,-105.102511,-105.1017305,-105.1017606,-105.10198;;40.2032716,40.2034528,40.2032503,40.1524764,40.1518127,40.1523888,40.1479752,40.1479966,40.1481811,40.148193
6604 Mccall Dr;;550 Disc Drive;;8;;4.8;;-105.1983788,-105.1944745,-105.1780239,-105.1783065,-105.1744369,-105.1711775;;40.2032716,40.2034528,40.2032588,40.1579557,40.1580948,40.1533332
6604 Mccall Dr;;1250 S. Hover St;;13;;7.4;;-105.1983788,-105.1944745,-105.1317621,-105.1307998,-105.1290168,-105.1294801,-105.129308;;40.2032716,40.2034528,40.2032503,40.1503398,40.149671,40.1483847,40.1483821
6604 Mccall Dr;;1707 Main St;;10;;6.1;;-105.1983788,-105.1944745,-105.1031391,-105.1023186,-105.1026557,-105.1026711;;40.2032716,40.2034528,40.2032264,40.1892676,40.1892519,40.1887598
6604 Mccall Dr;;512 4th Avenue;;14;;7.8;;-105.1983788,-105.1944745,-105.1031391,-105.1025006,-105.1012555,-105.1012164,-105.1018606,-105.1018608;;40.2032716,40.2034528,40.2032264,40.1739277,40.1739245,40.1657411,40.1657437,40.1658724
6604 Mccall Dr;;659 20th Ave;;10;;5.8;;-105.1983788,-105.1944745,-105.1031391,-105.1023682,-105.1037369;;40.2032716,40.2034528,40.2032264,40.1938538,40.1938539
6604 Mccall Dr;;1108 Francis S;;14;;7.6;;-105.1983788,-105.1944745,-105.1031391,-105.1025006,-105.1012555,-105.1011966,-105.1018628,-105.1018625;;40.2032716,40.2034528,40.2032264,40.1739277,40.1739245,40.1673806,40.1673955,40.1672069
6604 Mccall Dr;;2919 17th Ave;;7;;4.2;;-105.1983788,-105.1944745,-105.1448984,-105.1381077,-105.1405942,-105.1408255,-105.1414988;;40.2032716,40.2034528,40.2032913,40.193214,40.1882662,40.188261,40.1883725
6604 Mccall Dr;;2100 Main St;;9;;5.7;;-105.1983788,-105.1944745,-105.1031391,-105.1024193,-105.101597,-105.1016003,-105.1020602;;40.2032716,40.2034528,40.2032264,40.1961223,40.19585259999999,40.1960863,40.1962191
6604 Mccall Dr;;420 Kimbark St;;14;;7.7;;-105.1983788,-105.1944745,-105.1031391,-105.1025006,-105.1012555,-105.1012068;;40.2032716,40.2034528,40.2032264,40.1739277,40.1739245,40.1665384
6604 Mccall Dr;;9595 Nelson Rd;;12;;7.3;;-105.1983788,-105.1944745,-105.1317621,-105.1307472,-105.1287152,-105.1288232;;40.2032716,40.2034528,40.2032503,40.1524764,40.1523489,40.1537956
6604 Mccall Dr;;1030 Boston Ave St;;15;;8.0;;-105.1983788,-105.1944745,-105.1317621,-105.1308108,-105.11213,-105.111897,-105.105774,-105.1057739,-105.1068549,-105.1069251,-105.1091401,-105.1090338;;40.2032716,40.2034528,40.2032503,40.166961,40.1654652,40.16323,40.161865,40.16134539999999,40.1601661,40.1578159,40.1579704,40.1581774
6604 Mccall Dr;;1240 Kimbark St;;11;;6.7;;-105.1983788,-105.1944745,-105.1031391,-105.1023976,-105.1011329,-105.1011222;;40.2032716,40.2034528,40.2032264,40.1812696,40.1812627,40.1807303
